品目,産地,年,月,数量_kg,金額_円
まぐろ,広島,2023,5,213,879394
まぐろ,広島,2023,6,216,1080477
まぐろ,広島,2023,7,129,773752
まぐろ,広島,2023,8,99,620781
まぐろ,広島,2023,9,168,884744
まぐろ,広島,2023,10,99,641463
まぐろ,広島,2023,11,225,1081154
まぐろ,広島,2023,12,263,1646930
いさき,合計,2023,1,116,140193
いさき,合計,2023,2,201,303172
いさき,合計,2023,3,291,350137
いさき,合計,2023,4,322,404490
いさき,合計,2023,5,235,295613
いさき,合計,2023,6,558,732875
いさき,合計,2023,7,685,933202
いさき,合計,2023,8,200,316370
いさき,合計,2023,9,129,184091
いさき,合計,2023,10,358,442069
いさき,合計,2023,11,241,300643
いさき,合計,2023,12,167,197248
いさき,広島,2023,1,70,84726
いさき,広島,2023,2,106,164193
いさき,広島,2023,3,188,213056
いさき,広島,2023,4,208,251255
いさき,広島,2023,5,145,181238
いさき,広島,2023,6,358,463401
いさき,広島,2023,7,396,558788
いさき,広島,2023,8,117,189584
いさき,広島,2023,9,88,126684
いさき,広島,2023,10,213,263812
いさき,広島,2023,11,136,178051
いさき,広島,2023,12,103,117295
いさき,愛媛,2023,1,46,55467
いさき,愛媛,2023,2,95,138979
いさき,愛媛,2023,3,102,137081
いさき,愛媛,2023,4,114,153235
いさき,愛媛,2023,5,91,114375
いさき,愛媛,2023,6,200,269474
いさき,愛媛,2023,7,289,374414
いさき,愛媛,2023,8,83,126786
いさき,愛媛,2023,9,40,57407
いさき,愛媛,2023,10,145,178257
いさき,愛媛,2023,11,105,122592
いさき,愛媛,2023,12,63,79953
たちうお,合計,2023,1,771,1242926
たちうお,合計,2023,2,508,910488
たちうお,合計,2023,3,674,1339831
たちうお,合計,2023,4,345,715371
たちうお,合計,2023,5,421,804680
たちうお,合計,2023,6,251,542675
たちうお,合計,2023,7,138,354751
たちうお,合計,2023,8,67,151180
たちうお,合計,2023,9,312,421175
たちうお,合計,2023,10,520,662754
たちうお,合計,2023,11,567,937286
たちうお,合計,2023,12,446,635731
たちうお,広島,2023,1,771,1242926
たちうお,広島,2023,2,508,910488
たちうお,広島,2023,3,674,1339831
たちうお,広島,2023,4,345,715371
たちうお,広島,2023,5,421,804680
たちうお,広島,2023,6,251,542675
たちうお,広島,2023,7,138,354751
たちうお,広島,2023,8,67,151180
たちうお,広島,2023,9,312,421175
たちうお,広島,2023,10,520,662754
たちうお,広島,2023,11,567,937286
たちうお,広島,2023,12,446,635731
ぼら,合計,2023,1,70,17382
ぼら,合計,2023,2,235,56647
ぼら,合計,2023,3,454,111639
ぼら,合計,2023,4,540,130796
ぼら,合計,2023,5,267,63381
ぼら,合計,2023,6,49,13423
ぼら,合計,2023,7,10,2533
ぼら,合計,2023,8,9,2322
ぼら,合計,2023,9,76,22896
